Category,Resume
Testing,"Highly skilled Testing with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Jira and Postman. Implemented solutions that improved efficiency by 20%. Skills: Jira, Postman, Manual Testing, API Testing, Java, Python. "
Java Developer,"Passionate about Java Developer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Maven and Microservices. Implemented solutions that improved efficiency by 20%. Skills: Maven, Microservices, J2EE, Agile, Hibernate, Spring Boot, SQL, Java. "
DevOps,"Dedicated DevOps specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Bash and Git. Implemented solutions that improved efficiency by 20%. Skills: Bash, Git, Docker, AWS, Linux, Monitoring. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving spaCy and Python. Implemented solutions that improved efficiency by 20%. Skills: spaCy, Python, NLTK, Word2Vec, Natural Language Processing, Deep Learning, Transformers, NLP. "
Java Developer,"Dedicated Java Developer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Maven and Spring Boot. Implemented solutions that improved efficiency by 20%. Skills: Maven, Spring Boot, SQL, J2EE, Tomcat, REST API, Git, Junit. "
Testing,"Highly skilled Testing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Python and Java. Implemented solutions that improved efficiency by 20%. Skills: Python, Java, Selenium, Cucumber, Agile, TestNG. "
Testing,"Highly skilled Testing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving API Testing and Agile. Implemented solutions that improved efficiency by 20%. Skills: API Testing, Agile, Postman, Java, Jira, Cucumber, Python. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving SolidWorks and Design. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, Design, Manufacturing, Product Design, Matlab, Engineering, Project Management, AutoCAD. "
Data Science,"Experienced professional with a proven track record in Data Science. B.Tech in Information Technology. Worked on various projects involving Keras and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Keras, Scikit-learn, Pandas, Python, NumPy, Data Science, TensorFlow, SQL. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Excel and SQL. Implemented solutions that improved efficiency by 20%. Skills: Excel, SQL, Data Analysis, Scrum, Stakeholder Management, Requirement Gathering. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Text Classification and NLP. Implemented solutions that improved efficiency by 20%. Skills: Text Classification, NLP, Natural Language Processing, Deep Learning, NLTK, Word2Vec, Python. "
NLP Engineer,"Results-oriented NLP Engineer looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Natural Language Processing and Deep Learning. Implemented solutions that improved efficiency by 20%. Skills: Natural Language Processing, Deep Learning, Word2Vec, PyTorch, NLTK, Text Classification, Python. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. Master's degree in Engineering. Worked on various projects involving Excel and PowerBI. Implemented solutions that improved efficiency by 20%. Skills: Excel, PowerBI, Data Analysis, SQL, Business Analysis, Jira, Scrum. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Transformers and BERT. Implemented solutions that improved efficiency by 20%. Skills: Transformers, BERT, Deep Learning, Text Classification, NLTK, spaCy, NLP, Natural Language Processing. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving TensorFlow and SQL. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, SQL, Keras, Statistics, Data Analysis, NumPy, Pandas. "
Testing,"Results-oriented Testing looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Bug Tracking and Postman. Implemented solutions that improved efficiency by 20%. Skills: Bug Tracking, Postman, Agile, Manual Testing, API Testing. "
Web Designing,"Dedicated Web Designing specialist with strong background. Master's degree in Engineering. Worked on various projects involving Responsive Design and Figma. Implemented solutions that improved efficiency by 20%. Skills: Responsive Design, Figma, Angular, Bootstrap, React, Adobe XD. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Tableau and SQL. Implemented solutions that improved efficiency by 20%. Skills: Tableau, SQL, Python, Keras, TensorFlow, Pandas, NumPy, Data Analysis. "
Data Science,"Experienced professional with a proven track record in Data Science. Bachelor's degree in Computer Science. Worked on various projects involving Python and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Python, Scikit-learn, Pandas, Tableau, Keras. "
DevOps,"Dedicated DevOps specialist with strong background. Master's degree in Engineering. Worked on various projects involving Git and Docker. Implemented solutions that improved efficiency by 20%. Skills: Git, Docker, Terraform, Prometheus, Ansible. "
HR,"Dedicated HR specialist with strong background. MBA in Human Resources. Worked on various projects involving HR Policies and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: HR Policies, Recruitment, Interviewing, Communication, Sourcing. "
HR,"Highly skilled HR with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Employee Relations and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Employee Relations, Recruitment, Communication, Onboarding, HR Policies. "
HR,"Passionate about HR and building scalable solutions. B.S. in relevant field. Worked on various projects involving Payroll and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Payroll, Recruitment, HR Policies, Interviewing, Sourcing. "
Data Science,"Experienced professional with a proven track record in Data Science. Bachelor's degree in Computer Science. Worked on various projects involving Scikit-learn and Keras. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Keras, Pandas, NumPy, Statistics. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving CAD and ANSYS. Implemented solutions that improved efficiency by 20%. Skills: CAD, ANSYS, Mechanical Engineering, Design, AutoCAD, Engineering, Matlab, Manufacturing. "
DevOps,"Dedicated DevOps specialist with strong background. Master's degree in Engineering. Worked on various projects involving Bash and Linux. Implemented solutions that improved efficiency by 20%. Skills: Bash, Linux, Git, Kubernetes, Ansible, Docker, AWS, Jenkins. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Transformers and spaCy. Implemented solutions that improved efficiency by 20%. Skills: Transformers, spaCy, Natural Language Processing, Deep Learning, PyTorch, NLP, Word2Vec. "
Testing,"Highly skilled Testing with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving TestNG and Postman. Implemented solutions that improved efficiency by 20%. Skills: TestNG, Postman, Automation Testing, Agile, Selenium. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving AutoCAD and ANSYS. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, ANSYS, Manufacturing, Matlab, Engineering, Mechanical Engineering. "
Java Developer,"Passionate about Java Developer and building scalable solutions. MBA in Human Resources. Worked on various projects involving SQL and Java. Implemented solutions that improved efficiency by 20%. Skills: SQL, Java, Git, Tomcat, Junit, Spring Boot, Hibernate. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Django and Redis. Implemented solutions that improved efficiency by 20%. Skills: Django, Redis, REST API, Linux, AWS, Python, PostgreSQL. "
Data Science,"Passionate about Data Science and building scalable solutions. MBA in Human Resources. Worked on various projects involving Statistics and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Statistics, Machine Learning, Data Science, Pandas, TensorFlow, Tableau. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Angular and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Angular, JavaScript, Web Development, Adobe XD, Bootstrap, HTML. "
Java Developer,"Dedicated Java Developer specialist with strong background. B.S. in relevant field. Worked on various projects involving REST API and J2EE. Implemented solutions that improved efficiency by 20%. Skills: REST API, J2EE, Agile, Hibernate, Maven, Spring Boot. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Statistics and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Statistics, Data Analysis, Data Science, Scikit-learn, SQL, Keras, Machine Learning. "
Web Designing,"Experienced professional with a proven track record in Web Designing. B.Tech in Information Technology. Worked on various projects involving Adobe XD and UI/UX. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, UI/UX, CSS, Bootstrap, Angular, Responsive Design. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Git and FastAPI. Implemented solutions that improved efficiency by 20%. Skills: Git, FastAPI, PostgreSQL, Python, Unit Testing, Flask, Django. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Scikit-learn and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Data Science, SQL, NumPy, TensorFlow, Keras, Tableau, Pandas. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Business Analysis and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Business Analysis, Data Analysis, Stakeholder Management, Excel, Scrum, UML, Requirement Gathering. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Keras and NumPy. Implemented solutions that improved efficiency by 20%. Skills: Keras, NumPy, Pandas, Python, Statistics, TensorFlow, Scikit-learn. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Data Science and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Data Science, Data Analysis, Tableau, Statistics, Keras, Python, NumPy. "
DevOps,"Highly skilled DevOps with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Kubernetes and AWS. Implemented solutions that improved efficiency by 20%. Skills: Kubernetes, AWS, Monitoring, Bash, Git, CI/CD. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving PowerBI and Agile. Implemented solutions that improved efficiency by 20%. Skills: PowerBI, Agile, Jira, Data Analysis, Business Analysis, Requirement Gathering, Communication, Stakeholder Management. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Ansible and Docker. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Docker, Git, AWS, Kubernetes, CI/CD, Terraform, Bash. "
Java Developer,"Experienced professional with a proven track record in Java Developer. B.S. in relevant field. Worked on various projects involving Git and Java. Implemented solutions that improved efficiency by 20%. Skills: Git, Java, SQL, Junit, Hibernate, Agile, Maven. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving HTML and Angular. Implemented solutions that improved efficiency by 20%. Skills: HTML, Angular, CSS, UI/UX, Bootstrap, JavaScript, Figma. "
DevOps,"Passionate about DevOps and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Docker and Linux. Implemented solutions that improved efficiency by 20%. Skills: Docker, Linux, CI/CD, Bash, Jenkins, Git, Monitoring, Kubernetes. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Engineering and Design. Implemented solutions that improved efficiency by 20%. Skills: Engineering, Design, Project Management, Mechanical Engineering, Manufacturing. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.S. in relevant field. Worked on various projects involving Project Management and CAD. Implemented solutions that improved efficiency by 20%. Skills: Project Management, CAD, Matlab, Engineering, ANSYS, SolidWorks, Manufacturing. "
Web Designing,"Dedicated Web Designing specialist with strong background. Master's degree in Engineering. Worked on various projects involving Angular and CSS. Implemented solutions that improved efficiency by 20%. Skills: Angular, CSS, React, Bootstrap, Responsive Design, UI/UX, Web Development, Figma. "
Data Science,"Experienced professional with a proven track record in Data Science. Bachelor's degree in Computer Science. Worked on various projects involving SQL and Tableau. Implemented solutions that improved efficiency by 20%. Skills: SQL, Tableau, Keras, Data Science, Machine Learning, Scikit-learn, Data Analysis. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving JavaScript and React. Implemented solutions that improved efficiency by 20%. Skills: JavaScript, React, HTML, Adobe XD, Bootstrap, Responsive Design, Figma, CSS. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Agile and Excel. Implemented solutions that improved efficiency by 20%. Skills: Agile, Excel, UML, Jira, Scrum, Business Analysis, PowerBI, Data Analysis. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Manual Testing and Cucumber. Implemented solutions that improved efficiency by 20%. Skills: Manual Testing, Cucumber, Python, Java, Jira. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Figma and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: Figma, Responsive Design, Bootstrap, HTML, Web Development. "
DevOps,"Highly skilled DevOps with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving CI/CD and Linux. Implemented solutions that improved efficiency by 20%. Skills: CI/CD, Linux, Jenkins, Kubernetes, Prometheus, Git. "
NLP Engineer,"Passionate about NLP Engineer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Transformers and Text Classification. Implemented solutions that improved efficiency by 20%. Skills: Transformers, Text Classification, Python, BERT, NLTK, Word2Vec. "
Testing,"Passionate about Testing and building scalable solutions. MBA in Human Resources. Worked on various projects involving API Testing and Agile. Implemented solutions that improved efficiency by 20%. Skills: API Testing, Agile, Postman, Jira, Java, Manual Testing, TestNG. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Product Design and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Mechanical Engineering, CAD, Engineering, Design, Manufacturing, AutoCAD, ANSYS. "
DevOps,"Experienced professional with a proven track record in DevOps. B.Tech in Information Technology. Worked on various projects involving Terraform and Ansible. Implemented solutions that improved efficiency by 20%. Skills: Terraform, Ansible, Monitoring, Git, Docker. "
Data Science,"Highly skilled Data Science with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Data Science and Tableau. Implemented solutions that improved efficiency by 20%. Skills: Data Science, Tableau, NumPy, Machine Learning, Keras. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Mechanical Engineering and SolidWorks. Implemented solutions that improved efficiency by 20%. Skills: Mechanical Engineering, SolidWorks, Project Management, CAD, Manufacturing. "
NLP Engineer,"Passionate about NLP Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Text Classification and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: Text Classification, Natural Language Processing, PyTorch, spaCy, Transformers, Python, NLP, BERT. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Mechanical Engineering and Project Management. Implemented solutions that improved efficiency by 20%. Skills: Mechanical Engineering, Project Management, Matlab, Engineering, SolidWorks, AutoCAD, ANSYS. "
Data Science,"Experienced professional with a proven track record in Data Science. MBA in Human Resources. Worked on various projects involving Machine Learning and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Machine Learning, Scikit-learn, TensorFlow, Python, Keras, Data Science, NumPy, Data Analysis. "
HR,"Experienced professional with a proven track record in HR. MBA in Human Resources. Worked on various projects involving Talent Acquisition and Employee Relations. Implemented solutions that improved efficiency by 20%. Skills: Talent Acquisition, Employee Relations, Interviewing, Recruitment, Communication. "
Testing,"Highly skilled Testing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving TestNG and Agile. Implemented solutions that improved efficiency by 20%. Skills: TestNG, Agile, Jira, API Testing, Java. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Maven and SQL. Implemented solutions that improved efficiency by 20%. Skills: Maven, SQL, Java, Git, Junit, Tomcat. "
Mechanical Engineer,"Experienced professional with a proven track record in Mechanical Engineer. B.Tech in Information Technology. Worked on various projects involving Product Design and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Mechanical Engineering, Engineering, Project Management, ANSYS, Design, CAD. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Scrum and UML. Implemented solutions that improved efficiency by 20%. Skills: Scrum, UML, Excel, Stakeholder Management, Business Analysis, Jira, PowerBI. "
Data Science,"Highly skilled Data Science with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving TensorFlow and Tableau. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, Tableau, Keras, Data Science, SQL, Statistics. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Ansible and Monitoring. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Monitoring, Prometheus, AWS, Bash, Docker, Jenkins, Git. "
Testing,"Highly skilled Testing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Jira and Agile. Implemented solutions that improved efficiency by 20%. Skills: Jira, Agile, API Testing, TestNG, Python, Cucumber, Manual Testing. "
HR,"Results-oriented HR looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Talent Acquisition and Sourcing. Implemented solutions that improved efficiency by 20%. Skills: Talent Acquisition, Sourcing, Employee Relations, HR Policies, Human Resources, Payroll. "
Testing,"Experienced professional with a proven track record in Testing. Bachelor's degree in Computer Science. Worked on various projects involving Agile and Cucumber. Implemented solutions that improved efficiency by 20%. Skills: Agile, Cucumber, TestNG, API Testing, Automation Testing, Postman, Selenium. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Maven and Junit. Implemented solutions that improved efficiency by 20%. Skills: Maven, Junit, Git, Tomcat, Agile, Hibernate. "
Java Developer,"Experienced professional with a proven track record in Java Developer. Bachelor's degree in Computer Science. Worked on various projects involving Agile and Microservices. Implemented solutions that improved efficiency by 20%. Skills: Agile, Microservices, REST API, Git, Junit, SQL, Hibernate. "
Testing,"Dedicated Testing specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Manual Testing and API Testing. Implemented solutions that improved efficiency by 20%. Skills: Manual Testing, API Testing, Agile, Selenium, Python, Automation Testing. "
Python Developer,"Passionate about Python Developer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving FastAPI and Python. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Python, REST API, Linux, Flask. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Bootstrap and React. Implemented solutions that improved efficiency by 20%. Skills: Bootstrap, React, CSS, Responsive Design, Web Development, Figma, Adobe XD, JavaScript. "
DevOps,"Dedicated DevOps specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Ansible and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Terraform, Bash, CI/CD, Monitoring, Jenkins, Prometheus, AWS. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Natural Language Processing and LLMs. Implemented solutions that improved efficiency by 20%. Skills: Natural Language Processing, LLMs, Transformers, Deep Learning, Python, PyTorch. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Flask and Redis. Implemented solutions that improved efficiency by 20%. Skills: Flask, Redis, Git, Linux, FastAPI. "
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Data Analysis and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Scikit-learn, Pandas, Machine Learning, Keras, Statistics. "
Web Designing,"Dedicated Web Designing specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Angular and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Angular, JavaScript, Web Development, CSS, Adobe XD, React, Figma. "
Web Designing,"Dedicated Web Designing specialist with strong background. MBA in Human Resources. Worked on various projects involving React and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: React, Bootstrap, Angular, Responsive Design, JavaScript, UI/UX. "
Python Developer,"Passionate about Python Developer and building scalable solutions. B.S. in relevant field. Worked on various projects involving FastAPI and Docker. Implemented solutions that improved efficiency by 20%. Skills: FastAPI, Docker, Django, AWS, Linux, Git, Redis, Python. "
Testing,"Experienced professional with a proven track record in Testing. Bachelor's degree in Computer Science. Worked on various projects involving Selenium and Jira. Implemented solutions that improved efficiency by 20%. Skills: Selenium, Jira, TestNG, Java, Python, Cucumber. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving Unit Testing and Django. Implemented solutions that improved efficiency by 20%. Skills: Unit Testing, Django, Docker, Flask, Git, FastAPI, PostgreSQL, Linux. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. Master's degree in Engineering. Worked on various projects involving SolidWorks and AutoCAD. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, AutoCAD, Engineering, ANSYS, Project Management. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving LLMs and NLTK. Implemented solutions that improved efficiency by 20%. Skills: LLMs, NLTK, PyTorch, Transformers, Word2Vec, NLP, BERT, Python. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Jira and Agile. Implemented solutions that improved efficiency by 20%. Skills: Jira, Agile, Scrum, Stakeholder Management, UML. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Tableau and TensorFlow. Implemented solutions that improved efficiency by 20%. Skills: Tableau, TensorFlow, Data Analysis, Data Science, NumPy. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Ansible and Kubernetes. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Kubernetes, Monitoring, Docker, Git, Terraform. "
Python Developer,"Dedicated Python Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Git and AWS. Implemented solutions that improved efficiency by 20%. Skills: Git, AWS, FastAPI, Docker, Python, Django, Linux. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Bachelor's degree in Computer Science. Worked on various projects involving Natural Language Processing and Word2Vec. Implemented solutions that improved efficiency by 20%. Skills: Natural Language Processing, Word2Vec, Transformers, Text Classification, LLMs, Python. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving NLTK and BERT. Implemented solutions that improved efficiency by 20%. Skills: NLTK, BERT, Deep Learning, Text Classification, NLP, Word2Vec. "
Data Science,"Dedicated Data Science specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Tableau and Keras. Implemented solutions that improved efficiency by 20%. Skills: Tableau, Keras, Pandas, Statistics, Data Analysis, NumPy, TensorFlow. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. Bachelor's degree in Computer Science. Worked on various projects involving PowerBI and UML. Implemented solutions that improved efficiency by 20%. Skills: PowerBI, UML, Excel, Agile, Scrum, SQL, Requirement Gathering, Stakeholder Management. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving NLP and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: NLP, Natural Language Processing, spaCy, Deep Learning, BERT. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving HTML and CSS. Implemented solutions that improved efficiency by 20%. Skills: HTML, CSS, Bootstrap, UI/UX, Responsive Design, Web Development. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. Master's degree in Engineering. Worked on various projects involving SQL and PowerBI. Implemented solutions that improved efficiency by 20%. Skills: SQL, PowerBI, Data Analysis, Stakeholder Management, Scrum, Communication, Business Analysis, UML. "
Java Developer,"Dedicated Java Developer specialist with strong background. MBA in Human Resources. Worked on various projects involving Java and Spring Boot. Implemented solutions that improved efficiency by 20%. Skills: Java, Spring Boot, Junit, Hibernate, Tomcat, Microservices. "
Testing,"Results-oriented Testing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Cucumber and Automation Testing. Implemented solutions that improved efficiency by 20%. Skills: Cucumber, Automation Testing, Jira, Python, Postman, Agile, API Testing, Java. "
DevOps,"Passionate about DevOps and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Prometheus and Ansible. Implemented solutions that improved efficiency by 20%. Skills: Prometheus, Ansible, AWS, Terraform, CI/CD, Monitoring, Kubernetes, Linux. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Docker and FastAPI. Implemented solutions that improved efficiency by 20%. Skills: Docker, FastAPI, Unit Testing, Django, Flask, Redis. "
Python Developer,"Dedicated Python Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving REST API and Git. Implemented solutions that improved efficiency by 20%. Skills: REST API, Git, Flask, Unit Testing, Python, Linux. "
Mechanical Engineer,"Experienced professional with a proven track record in Mechanical Engineer. Master's degree in Engineering. Worked on various projects involving Engineering and SolidWorks. Implemented solutions that improved efficiency by 20%. Skills: Engineering, SolidWorks, CAD, Matlab, Mechanical Engineering, ANSYS, Project Management, AutoCAD. "
HR,"Results-oriented HR looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Payroll and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Payroll, HR Policies, Communication, Interviewing, Employee Relations, Talent Acquisition, Human Resources. "
HR,"Dedicated HR specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Communication and Sourcing. Implemented solutions that improved efficiency by 20%. Skills: Communication, Sourcing, Interviewing, Payroll, Talent Acquisition. "
DevOps,"Passionate about DevOps and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Jenkins and Prometheus. Implemented solutions that improved efficiency by 20%. Skills: Jenkins, Prometheus, Bash, Git, Docker, Terraform, CI/CD. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Jira and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Jira, Data Analysis, Requirement Gathering, Business Analysis, Excel, Communication, PowerBI, Scrum. "
HR,"Experienced professional with a proven track record in HR. B.Tech in Information Technology. Worked on various projects involving Onboarding and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Onboarding, Recruitment, Employee Relations, Communication, Payroll, Sourcing. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. MBA in Human Resources. Worked on various projects involving Text Classification and Python. Implemented solutions that improved efficiency by 20%. Skills: Text Classification, Python, Word2Vec, LLMs, NLTK, Deep Learning. "
Python Developer,"Passionate about Python Developer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Redis and Linux. Implemented solutions that improved efficiency by 20%. Skills: Redis, Linux, Git, Flask, Django, Python. "
Mechanical Engineer,"Experienced professional with a proven track record in Mechanical Engineer. B.S. in relevant field. Worked on various projects involving Project Management and Mechanical Engineering. Implemented solutions that improved efficiency by 20%. Skills: Project Management, Mechanical Engineering, Design, CAD, Manufacturing, Matlab, ANSYS, Product Design. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Monitoring and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Monitoring, Terraform, Bash, Jenkins, CI/CD. "
Web Designing,"Passionate about Web Designing and building scalable solutions. MBA in Human Resources. Worked on various projects involving Bootstrap and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: Bootstrap, Responsive Design, UI/UX, React, HTML, Web Development. "
